RefDes,Pattern,X (mm),Y (mm),Side,Rotate,Value,Comments
C1,CAP_ELECTRO_4mm,9.4,15,Top,180,4u7_10v,
D10,MMSZ12T1G,19,46.2,Top,270,12V,
D11,ESD2CAN24DBZRQ1,10.4,23.3,Top,270,ESD2CAN24,
Q10,DMP6350S-7_old,14.8,46.2,Top,90,DMP6350S-7,
Q1_1,DMN65D8L_old,34.9,46.8,Top,270,DMN65D8L,
Q1_2,DMN65D8L_old,34.9,30.6,Top,270,DMN65D8L,
Q1_3,DMN65D8L_old,34.9,14.1,Top,270,DMN65D8L,
Q2_1,DMN65D8L_old,30.6,46.8,Top,270,DMN65D8L,
Q2_2,DMN65D8L_old,30.6,30.6,Top,270,DMN65D8L,
Q2_3,DMN65D8L_old,30.6,14.1,Top,270,DMN65D8L,
Q3_1,DMN65D8L_old,30.6,36.2,Top,270,DMN65D8L,
Q3_2,DMN65D8L_old,30.6,20,Top,270,DMN65D8L,
Q3_3,DMN65D8L_old,30.6,3.5,Top,270,DMN65D8L,
Q4_1,BSS84_old,34.9,40.3,Top,270,BSS84,
Q4_2,BSS84_old,34.9,24.1,Top,270,BSS84,
Q4_3,BSS84_old,34.9,7.6,Top,270,BSS84,
R10,RES_0603_M,22.4,46.1,Top,90,10K,
R1_1,RES_0603_M,27.5,45.7,Top,90,150R,
R1_2,RES_0603_M,27.5,29.5,Top,90,150R,
R1_3,RES_0603_M,27.5,13,Top,90,150R,
R2_1,RES_0603_M,27.5,40.3,Top,90,150R,
R2_2,RES_0603_M,27.5,24.1,Top,90,150R,
R2_3,RES_0603_M,27.5,7.6,Top,90,150R,
R3_1,RES_0603_M,30.9,43.7,Top,180,10K,
R3_2,RES_0603_M,30.9,27.5,Top,180,10K,
R3_3,RES_0603_M,30.9,11,Top,180,10K,
R4_1,RES_0603_M,27.5,36.2,Top,90,10K,
R4_2,RES_0603_M,27.5,20,Top,90,10K,
R4_3,RES_0603_M,27.5,3.5,Top,90,10K,
R5_1,RES_0603_M,34.9,43.7,Top,180,10K,
R5_2,RES_0603_M,34.9,27.5,Top,180,10K,
R5_3,RES_0603_M,34.9,11,Top,180,10K,
R6_1,RES_0603_M,31.5,40.3,Top,90,10K,
R6_2,RES_0603_M,31.5,24.1,Top,90,10K,
R6_3,RES_0603_M,31.5,7.6,Top,90,10K,
R7_1,RES_0805_M,34.9,36.9,Top,180,390R_1W,
R7_2,RES_0805_M,34.9,20.7,Top,180,390R_1W,
R7_3,RES_0805_M,34.9,4.2,Top,180,390R_1W,
FID1,FIDUCIAL,-12,-2,Top,90,na,
FID2,FIDUCIAL,96,-2,Top,90,na,
FID3,FIDUCIAL,-12,161,Top,90,na,
FID4,FIDUCIAL,96,161,Top,90,na,
